predicate,subject,subject_type,object,object_type
推荐饮食,过敏性鼻炎,疾病,熟地黄芪芡实羹,饮食
推荐饮食,过敏性鼻炎,疾病,凉拌紫苏叶,饮食
推荐饮食,过敏性鼻炎,疾病,枸杞叶粥,饮食
推荐饮食,过敏性鼻炎,疾病,柏子仁鸡心,饮食
推荐饮食,过敏性鼻炎,疾病,炒羊肚丝,饮食
推荐饮食,过敏性鼻炎,疾病,腐竹猪肝粥,饮食
推荐饮食,过敏性鼻炎,疾病,香椿芽粥,饮食
推荐饮食,过敏性鼻炎,疾病,糯米莲藕,饮食
治疗药物,过敏性鼻炎,疾病,氯雷他定胶囊,药品
治疗药物,过敏性鼻炎,疾病,通窍鼻炎片,药品
治疗药物,过敏性鼻炎,疾病,盐酸西替利嗪片,药品
治疗药物,过敏性鼻炎,疾病,孟鲁司特钠咀嚼片,药品
治疗药物,过敏性鼻炎,疾病,盐酸非索非那定片,药品
治疗药物,过敏性鼻炎,疾病,富马酸酮替芬胶囊,药品
治疗药物,过敏性鼻炎,疾病,氯雷他定片,药品
治疗药物,过敏性鼻炎,疾病,孟鲁司特钠片,药品
治疗药物,过敏性鼻炎,疾病,滴通鼻炎水,药品
治疗药物,过敏性鼻炎,疾病,富马酸酮替芬滴鼻液,药品
治疗药物,过敏性鼻炎,疾病,盐酸左旋咪唑搽剂,药品
治疗药物,过敏性鼻炎,疾病,盐酸异丙嗪片,药品
治疗药物,过敏性鼻炎,疾病,胆香鼻炎片,药品
治疗药物,过敏性鼻炎,疾病,马来酸氯苯那敏片,药品
临床症状,干酪性鼻炎,疾病,鼻屎多,症状
临床症状,干酪性鼻炎,疾病,鼻干,症状
临床症状,干酪性鼻炎,疾病,鼻黏膜和鼻甲萎缩,症状
临床症状,干酪性鼻炎,疾病,鼻孔干疼,症状
临床症状,干酪性鼻炎,疾病,岳晗,症状
临床症状,干酪性鼻炎,疾病,鼻干燥,症状
临床症状,干酪性鼻炎,疾病,骨质破坏,症状
临床症状,干酪性鼻炎,疾病,鼻中隔穿孔,症状
临床症状,干酪性鼻炎,疾病,鼻出血,症状
治疗操作,干酪性鼻炎,疾病,药物治疗,操作
治疗操作,干酪性鼻炎,疾病,支持性治疗,操作
相关人群,干酪性鼻炎,疾病,无特发人群,人群
治疗药物,干酪性鼻炎,疾病,注射用头孢唑林钠,药品
治疗药物,干酪性鼻炎,疾病,诺氟沙星胶囊,药品
诊断检查,干酪性鼻炎,疾病,耳、鼻、咽拭子细菌培养,观测操作
诊断检查,干酪性鼻炎,疾病,鼻腔内镜检查,观测操作
诊断检查,干酪性鼻炎,疾病,耳鼻咽喉CT检查,观测操作
诊断检查,干酪性鼻炎,疾病,鼻咽部活组织检查,观测操作
推荐饮食,干酪性鼻炎,疾病,鸭翅,饮食
推荐饮食,干酪性鼻炎,疾病,鸡心,饮食
推荐饮食,干酪性鼻炎,疾病,鸡肉,饮食
推荐饮食,干酪性鼻炎,疾病,松子仁,饮食
禁忌饮食,干酪性鼻炎,疾病,鸭血(白鸭),饮食
禁忌饮食,干酪性鼻炎,疾病,杏仁,饮食
禁忌饮食,干酪性鼻炎,疾病,绿豆,饮食
禁忌饮食,干酪性鼻炎,疾病,赤小豆,饮食
推荐饮食,干酪性鼻炎,疾病,香菇扒小白菜,饮食
推荐饮食,干酪性鼻炎,疾病,白菜粥,饮食
推荐饮食,干酪性鼻炎,疾病,百合炒西兰花,饮食
推荐饮食,干酪性鼻炎,疾病,素炒西兰花,饮食
推荐饮食,干酪性鼻炎,疾病,西瓜羹,饮食
推荐饮食,干酪性鼻炎,疾病,苹果,饮食
推荐饮食,干酪性鼻炎,疾病,胡萝卜苹果汁,饮食
推荐饮食,干酪性鼻炎,疾病,炖奶汤鲫鱼萝卜丝,饮食
治疗药物,干酪性鼻炎,疾病,罗红霉素颗粒,药品
治疗药物,干酪性鼻炎,疾病,溶菌酶肠溶片,药品
